run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,sendCamCases,,,"2.25567968844 2.45567968844 2.65567968844 2.85567968844 3.15567968844 3.35567968844 3.55567968844 3.75567968844 3.95567968844 4.25567968844 4.55567968844 4.85567968844","2 3 3 3 2 2 3 3 3 2 2 2"
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,timeIntervalMessages,,,"2.25567968844 2.45567968844 2.65567968844 2.85567968844 3.15567968844 3.35567968844 3.55567968844 3.75567968844 3.95567968844 4.25567968844 4.55567968844 4.85567968844","0.129753460526 0.2 0.2 0.2 0.3 0.2 0.2 0.2 0.2 0.3 0.3 0.3"
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,sentCams,,,"2.25567968844 2.45567968844 2.65567968844 2.85567968844 3.15567968844 3.35567968844 3.55567968844 3.75567968844 3.95567968844 4.25567968844 4.55567968844 4.85567968844","1 2 3 4 5 6 7 8 9 10 11 12"
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,transmission:vector(camStationId),,,"2.25567968844 2.45567968844 2.65567968844 2.85567968844 3.15567968844 3.35567968844 3.55567968844 3.75567968844 3.95567968844 4.25567968844 4.55567968844 4.85567968844","1681692777 1681692777 1681692777 1681692777 1681692777 1681692777 1681692777 1681692777 1681692777 1681692777 1681692777 1681692777"
General-0-20220601-17:46:38-6427,attr,World.node[2].middleware.CA,transmission:vector(camStationId),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,transmission:vector(camGenerationDeltaTime),,,"2.25567968844 2.45567968844 2.65567968844 2.85567968844 3.15567968844 3.35567968844 3.55567968844 3.75567968844 3.95567968844 4.25567968844 4.55567968844 4.85567968844","64184 64384 64584 64784 65084 65284 65484 148 348 648 948 1248"
General-0-20220601-17:46:38-6427,attr,World.node[2].middleware.CA,transmission:vector(camGenerationDeltaTime),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,CamSize,,,"2.25567968844 2.45567968844 2.65567968844 2.85567968844 3.15567968844 3.35567968844 3.55567968844 3.75567968844 3.95567968844 4.25567968844 4.55567968844 4.85567968844","62 60 60 62 60 62 60 60 62 60 62 60"
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,receivedCams,,,"2.345590470711 2.391108677981 2.645590473795 2.691108674459 2.945590477768 2.991108670257 3.245590482641 3.291108665457 3.54559048832 3.591108660132 3.845590494742 3.891108654392 4.145590501964 4.19110864827 4.22748871281 4.427488712864 4.445590510051 4.491108641867 4.627488712924 4.74559051893 4.79110863531 4.801942493191 4.827488712987","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23"
General-0-20220601-17:46:38-6427,vector,World.node[2].middleware.CA,reception:vector(camStationId),,,"2.345590470711 2.391108677981 2.645590473795 2.691108674459 2.945590477768 2.991108670257 3.245590482641 3.291108665457 3.54559048832 3.591108660132 3.845590494742 3.891108654392 4.145590501964 4.19110864827 4.22748871281 4.427488712864 4.445590510051 4.491108641867 4.627488712924 4.74559051893 4.79110863531 4.801942493191 4.827488712987","846930886 1804289383 846930886 1804289383 846930886 1804289383 846930886 1804289383 846930886 1804289383 846930886 1804289383 846930886 1804289383 1714636915 1714636915 846930886 1804289383 1714636915 846930886 1804289383 1957747793 1714636915"
